arm,population,outcome,n_replicates,mean,sd,ci_low,ci_high
co_swapped,IDHmut_TP53wt,log2_fold_change,10,1.1549284314424009,0.16873957272540951,1.0474529885075736,1.2460246399263257
label_control,label_A,log2_fold_change,10,1.1590719293058576,0.185529374977282,1.0545496164547608,1.2730253462878303
label_control,label_B,log2_fold_change,10,1.138998668647521,0.14238079285738237,1.0575331077043346,1.2230933082896587
mono_TP53mut,IDHmut_TP53mut,log2_fold_change,10,1.6336423921956573,0.11663087989260498,1.5638484349718156,1.6983811977013072
mono_TP53wt,IDHmut_TP53wt,log2_fold_change,10,1.0502289828559985,0.1842442823044112,0.9384623865208687,1.1557407551291035
co_mixed,IDHmut_TP53mut,observed_doubling_time_days,10,3.2316180137461084,0.23828124393904512,3.0936918588267877,3.37282691594115
co_mixed,IDHmut_TP53wt,observed_doubling_time_days,10,5.008271442939511,0.5151165593875437,4.712261239407246,5.317612902575753
co_separated,IDHmut_TP53mut,observed_doubling_time_days,10,3.4345554157001716,0.38713342866240763,3.2130002720873123,3.6734362217571337
co_separated,IDHmut_TP53wt,observed_doubling_time_days,10,5.124164997718902,0.7361409084220454,4.700910672323711,5.561669236654225
co_swapped,IDHmut_TP53mut,observed_doubling_time_days,10,3.249516907417187,0.2992003430640187,3.08350687237646,3.43232124545581
co_swapped,IDHmut_TP53wt,observed_doubling_time_days,10,4.742360784801444,0.7792836204962662,4.349603048800683,5.244595102070127
label_control,label_A,observed_doubling_time_days,10,4.908808792712906,0.9286625903938228,4.3952963807681185,5.48468856220161
label_control,label_B,observed_doubling_time_days,10,4.957427765982773,0.6356087509952233,4.582926601989588,5.325889476412226
mono_TP53mut,IDHmut_TP53mut,observed_doubling_time_days,10,3.4065288126875837,0.2596382657785382,3.2570296783031236,3.56150474732092
mono_TP53wt,IDHmut_TP53wt,observed_doubling_time_days,10,5.4194233938875715,1.0845998395151388,4.8118278117753555,6.092085208849755
co_mixed,IDHmut_TP53mut,auc_log_count,10,5.187102907582567,0.05737002043252975,5.157346455606074,5.225063944653458
co_mixed,IDHmut_TP53wt,auc_log_count,10,5.012141161878791,0.046239355749241984,4.98413814059094,5.038422905158016
co_separated,IDHmut_TP53mut,auc_log_count,10,5.172805388024908,0.05323538712974052,5.141275293461931,5.2035136388601195
co_separated,IDHmut_TP53wt,auc_log_count,10,4.98777517715515,0.06553062314852152,4.946411941211171,5.02232331133148
co_swapped,IDHmut_TP53mut,auc_log_count,10,5.192034344111938,0.06150941775393849,5.157737259543109,5.229372117813267
co_swapped,IDHmut_TP53wt,auc_log_count,10,5.008500741104135,0.05458894444443762,4.975379138541068,5.039142765969694
label_control,label_A,auc_log_count,10,5.004090538224088,0.07880106453716713,4.95974415008149,5.05307702619642
label_control,label_B,auc_log_count,10,5.003792030698476,0.06251155992563141,4.965964267590741,5.039495925347602
mono_TP53mut,IDHmut_TP53mut,auc_log_count,10,5.179295595517596,0.046656947901324346,5.15098453549614,5.205914331509162
mono_TP53wt,IDHmut_TP53wt,auc_log_count,10,4.955493014271947,0.07667291956239433,4.908834191719151,4.998901286593047
co_mixed,IDHmut_TP53mut,final_proportion,10,0.5970812656781146,0.030810420223521543,0.578569519837099,0.6142567581656879
co_mixed,IDHmut_TP53wt,final_proportion,10,0.40291873432188535,0.030810420223521536,0.38593593230368184,0.4220893061658055
co_separated,IDHmut_TP53mut,final_proportion,10,0.5963523483928005,0.03349432981267907,0.577207159571532,0.6167708286681329
co_separated,IDHmut_TP53wt,final_proportion,10,0.40364765160719945,0.03349432981267909,0.3834834488574377,0.42288926870432
co_swapped,IDHmut_TP53mut,final_proportion,10,0.5929514255277502,0.034868481112550545,0.573464937128753,0.6143369689290121
co_swapped,IDHmut_TP53wt,final_proportion,10,0.40704857447224996,0.034868481112550545,0.38498592384715685,0.4257860915125087
label_control,label_A,final_proportion,10,0.5034566325462038,0.029224840162071188,0.48692091052199754,0.5216119857789782
