arm,seed,population,rate_coculture,rate_monoculture,competition_coefficient
co_swapped,20260909,IDHmut_TP53mut,0.00014829310644351543,0.00012832872539470002,1.9964381048815413e-05
co_swapped,20260909,IDHmut_TP53wt,0.00011664519995365816,8.036605136365494e-05,3.627914859000321e-05
co_swapped,20260910,IDHmut_TP53mut,0.0001347070767944589,0.00014536818999858264,-1.0661113204123754e-05
co_swapped,20260910,IDHmut_TP53wt,9.711455921681934e-05,9.72536951986513e-05,-1.3913598183196174e-07
co_swapped,20260911,IDHmut_TP53mut,0.00016102238314899482,0.00012968399097389857,3.133839217509625e-05
co_swapped,20260911,IDHmut_TP53wt,0.000116917575939046,6.991244543332285e-05,4.7005130505723146e-05
co_swapped,20260912,IDHmut_TP53mut,0.00013396412355346852,0.00015791066165515844,-2.394653810168992e-05
co_swapped,20260912,IDHmut_TP53wt,9.186791149966262e-05,8.628214964774008e-05,5.58576185192254e-06
co_swapped,20260913,IDHmut_TP53mut,0.0001596242157190117,0.00015288333186482615,6.740883854185539e-06
co_swapped,20260913,IDHmut_TP53wt,0.0001148908028459445,8.903364799612696e-05,2.5857154849817546e-05
co_swapped,20260914,IDHmut_TP53mut,0.0001641070820357993,0.00013557242008300574,2.853466195279356e-05
co_swapped,20260914,IDHmut_TP53wt,9.888762785481401e-05,9.393837255693278e-05,4.949255297881234e-06
co_swapped,20260915,IDHmut_TP53mut,0.0001508528100115619,0.00012867784841768843,2.217496159387348e-05
co_swapped,20260915,IDHmut_TP53wt,7.211794452675107e-05,0.00010699788547438956,-3.4879940947638493e-05
co_swapped,20260916,IDHmut_TP53mut,0.00016005638422353512,0.00014829567744014345,1.176070678339167e-05
co_swapped,20260916,IDHmut_TP53wt,0.00010965553467854426,0.0001147287117505673,-5.073177072023043e-06
