arm,seed,population,apoptosis_factor,n_start,n_end,n_dead_end,fold_change,log2_fold_change,log_growth_rate_per_min,observed_doubling_time_days,auc_log_count,final_proportion,final_radius_of_gyration,min_oxygen_mmHg,n_timepoints_observed
co_swapped,20260912,IDHmut_TP53wt,10.0,100.0,204.0,7,2.04,1.0285691521967708,9.186791149966262e-05,5.239611969669649,4.971507851099094,0.4171779141104294,89.3269768984054,14.252102163467326,23
co_swapped,20260913,IDHmut_TP53mut,10.0,100.0,342.0,0,3.42,1.7739963251111732,0.0001596242157190117,3.0155337431352764,5.20636338861416,0.5896551724137931,110.67043125956158,13.025912040646443,23
co_swapped,20260913,IDHmut_TP53wt,10.0,100.0,238.0,11,2.38,1.2509615735332187,0.0001148908028459445,4.189649622064377,5.076461346801438,0.4103448275862069,96.08138884107272,13.025912040646443,23
co_swapped,20260914,IDHmut_TP53mut,10.0,100.0,347.0,1,3.47,1.7949356628035362,0.0001641070820357993,2.933159268636433,5.224393696600974,0.6229802513464991,110.63554997422034,13.169264985704988,23
co_swapped,20260914,IDHmut_TP53wt,10.0,100.0,210.0,9,2.1,1.070389327891398,9.888762785481401e-05,4.867668677712661,5.0029653023904075,0.3770197486535009,92.28103867244957,13.169264985704988,23
co_swapped,20260915,IDHmut_TP53mut,10.0,100.0,346.0,0,3.46,1.790772037862,0.0001508528100115619,3.190873333319357,5.269819411803728,0.667953667953668,110.33205536351244,13.574961746713438,23
co_swapped,20260915,IDHmut_TP53wt,10.0,100.0,172.0,5,1.72,0.7824085649273732,7.211794452675107e-05,6.674513699480632,4.903785166848097,0.33204633204633205,84.02242512772467,13.574961746713438,23
co_swapped,20260916,IDHmut_TP53mut,10.0,100.0,350.0,1,3.5,1.8073549220576042,0.00016005638422353512,3.00739149554901,5.190912892646848,0.596252129471891,110.74342953706389,13.154138878607878,23
co_swapped,20260916,IDHmut_TP53wt,10.0,100.0,237.0,6,2.37,1.2448870591235344,0.00010965553467854426,4.389675451706752,5.006274245904133,0.403747870528109,94.28458392122884,13.154138878607878,23
label_control,20260907,label_A,10.0,100.0,186.0,6,1.86,0.8953026213333067,6.934626321263621e-05,6.941285462580955,4.923669852041155,0.4626865671641791,86.01313122404545,16.40985590200555,23
label_control,20260907,label_B,10.0,100.0,216.0,2,2.16,1.1110313123887439,9.446638608273317e-05,5.095486645383242,5.010948434937446,0.5373134328358209,92.66279314697951,16.40985590200555,23
label_control,20260908,label_A,10.0,100.0,200.0,2,2.0,1.0,9.498764703510352e-05,5.067524291282805,4.947502180986171,0.5102040816326531,89.50340371409558,16.342575889689947,23
label_control,20260908,label_B,10.0,100.0,192.0,5,1.92,0.9411063109464314,8.598684460098408e-05,5.59797502694587,4.928059742812301,0.4897959183673469,87.38837506340074,16.342575889689947,23
label_control,20260909,label_A,10.0,100.0,236.0,5,2.36,1.2387868595871165,0.00011718539530763612,4.107612620655792,5.030128553002393,0.542528735632184,95.36202731314536,15.76219422872096,23
label_control,20260909,label_B,10.0,100.0,199.0,3,1.99,0.9927684307689242,8.597049765672553e-05,5.599039459375838,4.889494844998078,0.4574712643678161,87.74471605409667,15.76219422872096,23
label_control,20260910,label_A,10.0,100.0,274.0,3,2.74,1.4541758931858022,0.00012551063283521607,3.8351508382095045,5.145616412099415,0.5199240986717267,101.66940691194903,14.429640748209415,23
label_control,20260910,label_B,10.0,100.0,253.0,6,2.53,1.3391373849195853,0.00011573226092668153,4.159187808722837,5.064747505506609,0.48007590132827327,97.46155446395926,14.429640748209415,23
label_control,20260911,label_A,10.0,100.0,224.0,5,2.24,1.1634987322828796,9.718913876435131e-05,4.9527366415838925,5.001622393238905,0.49667405764966743,92.19947705625454,15.773521975087966,23
label_control,20260911,label_B,10.0,100.0,227.0,8,2.27,1.1826922975161902,9.669948900211406e-05,4.97781543304392,4.983743631865415,0.5033259423503326,92.74291896089196,15.773521975087966,23
label_control,20260912,label_A,10.0,100.0,208.0,9,2.08,1.0565835283663676,9.088200033920891e-05,5.2964526190618635,4.935236272896102,0.48036951501154734,90.71579414665497,15.841211534321673,23
label_control,20260912,label_B,10.0,100.0,225.0,4,2.25,1.1699250014423124,0.00010183836197409001,4.726629527335202,5.035847662766881,0.5196304849884527,94.00015218760615,15.841211534321673,23
label_control,20260913,label_A,10.0,100.0,244.0,6,2.44,1.2868811477881617,0.0001004945109942353,4.789835822473888,5.056403775053895,0.5532879818594104,94.84025323499301,15.637846787518594,23
label_control,20260913,label_B,10.0,100.0,197.0,6,1.97,0.9781956296816515,8.032349761166537e-05,5.992669928908542,4.974396896557471,0.4467120181405896,89.15598411127063,15.637846787518594,23
label_control,20260914,label_A,10.0,100.0,266.0,9,2.66,1.411426245726465,0.00012844756487969167,3.7474607570259115,5.109407259020189,0.5086042065009561,100.92520756980637,14.593896777918502,23
label_control,20260914,label_B,10.0,100.0,257.0,7,2.57,1.3617683594191534,0.00012018442727740303,4.005112972008876,5.097428779963489,0.491395793499044,98.68469367400276,14.593896777918502,23
label_control,20260915,label_A,10.0,100.0,200.0,6,2.0,1.0,8.827939811033037e-05,5.452599576184206,4.938396683938757,0.4784688995215311,87.44603492404092,16.43397862393254,23
label_control,20260915,label_B,10.0,100.0,218.0,4,2.18,1.1243281350022019,0.00010306887361925074,4.6701995648109955,5.010830640989482,0.5215311004784688,90.70686282379032,16.43397862393254,23
label_control,20260916,label_A,10.0,100.0,212.0,5,2.12,1.0840642647884746,9.828670909284063e-05,4.8974292980702385,4.952921999963896,0.4818181818181818,89.44508536653119,15.60406193708722,23
