x,y,population,time_days
-170.8006106111395,20.400928355027933,IDHmut_TP53wt,3.25
101.59576954574041,-55.13126677804877,IDHmut_TP53mut,3.25
-258.42394692822626,-15.584946248489958,IDHmut_TP53wt,3.25
-202.10044834706264,-81.32258816008743,IDHmut_TP53wt,3.25
-132.1265804458971,-7.040463396732437,IDHmut_TP53wt,3.25
-230.28487831925247,-104.31519377470924,IDHmut_TP53wt,3.25
-151.20578087205072,56.45758945881296,IDHmut_TP53wt,3.25
-176.44602910356463,-70.42725768388938,IDHmut_TP53wt,3.25
-184.20972378071605,-112.64350015090315,IDHmut_TP53wt,3.25
-147.37936329354727,-2.8227639677067833,IDHmut_TP53wt,3.25
-233.58380277817122,48.31954324109692,IDHmut_TP53wt,3.25
-275.88660985863925,76.7046918600467,IDHmut_TP53wt,3.25
236.55469861241383,111.9965982359759,IDHmut_TP53mut,3.25
-218.05677375432293,-78.30995396717273,IDHmut_TP53wt,3.25
-210.72853827842872,-34.5792967718971,IDHmut_TP53wt,3.25
-113.5017239969598,-49.00921282121662,IDHmut_TP53wt,3.25
-186.25124864315353,18.555429049033386,IDHmut_TP53wt,3.25
-183.62258319704392,-20.339626308610015,IDHmut_TP53wt,3.25
-159.41420898893065,31.20057511743921,IDHmut_TP53wt,3.25
-189.7129450675956,33.03677661402493,IDHmut_TP53wt,3.25
-280.9698797601517,-69.06890652105666,IDHmut_TP53wt,3.25
-224.7486021835874,-41.068650556322716,IDHmut_TP53wt,3.25
-109.53081381640382,2.2500732269082038,IDHmut_TP53wt,3.25
-124.37472492560687,-37.60906649116488,IDHmut_TP53wt,3.25
-218.68638390361463,43.03832480702294,IDHmut_TP53wt,3.25
-224.34109535967605,74.02816945837256,IDHmut_TP53wt,3.25
-145.45170232854954,-73.5566219551505,IDHmut_TP53wt,3.25
-271.492093358782,26.35559404981154,IDHmut_TP53wt,3.25
-206.85745177462726,-0.903962332857331,IDHmut_TP53wt,3.25
-163.31804300009028,79.34152617935713,IDHmut_TP53wt,3.25
-274.47433001711084,-35.04718613033927,IDHmut_TP53wt,3.25
-245.34841428188307,38.1572937295876,IDHmut_TP53wt,3.25
-128.71249067762574,21.953989386899288,IDHmut_TP53wt,3.25
-128.1515682757421,-22.27103919143123,IDHmut_TP53wt,3.25
-220.04122301521207,113.81859171797836,IDHmut_TP53wt,3.25
118.70610779732729,-49.65939838816595,IDHmut_TP53mut,3.25
-273.0773720769826,52.648324545003256,IDHmut_TP53wt,3.25
-194.6163764664727,-10.628422205239795,IDHmut_TP53wt,3.25
-98.11606509382841,-8.635912002016187,IDHmut_TP53wt,3.25
-197.14809784160272,-56.743305932964944,IDHmut_TP53wt,3.25
-98.0855531599711,13.646434210469279,IDHmut_TP53wt,3.25
-202.10059672228442,17.64173118369173,IDHmut_TP53wt,3.25
-262.59606583089766,-89.85485229286974,IDHmut_TP53wt,3.25
-144.83357080621758,-102.4052820394164,IDHmut_TP53wt,3.25
-105.58863971082984,43.76159889936145,IDHmut_TP53wt,3.25
-261.5848511569507,77.05047304946451,IDHmut_TP53wt,3.25
-252.77066498977015,86.65629006473321,IDHmut_TP53wt,3.25
