population,x,y
IDHmut_TP53mut,289.5785770291841,-113.45058337095662
IDHmut_TP53mut,260.7477635401188,-83.14886003394417
IDHmut_TP53mut,307.55369907087805,-20.756248329608262
IDHmut_TP53mut,65.12473467397199,-46.086640760270164
IDHmut_TP53mut,230.0474703086041,-117.94114155622617
IDHmut_TP53mut,68.41215243373081,-9.167592195167797
IDHmut_TP53mut,252.42805271749683,-48.69696451259506
IDHmut_TP53mut,146.67395151939044,79.20229177031833
IDHmut_TP53mut,240.30258978949468,-55.26326919632197
IDHmut_TP53mut,147.48811863956902,120.01113891868438
IDHmut_TP53mut,231.5889019769373,-148.09294097107713
IDHmut_TP53mut,255.66121657604006,103.27518096152932
IDHmut_TP53mut,213.77928899461162,149.15395246188984
IDHmut_TP53mut,158.2286550245986,-88.1658308220384
IDHmut_TP53mut,115.53706214010369,42.85785668949292
IDHmut_TP53mut,317.10514515352895,44.77561329561641
IDHmut_TP53mut,217.20765825523557,-108.55811376682256
IDHmut_TP53mut,192.72937475268913,-69.68049822467633
IDHmut_TP53mut,328.54996126228343,33.33113900404928
IDHmut_TP53mut,223.18042847920998,80.16485588926683
IDHmut_TP53mut,101.81355657834736,86.12715878354939
IDHmut_TP53mut,221.98031699306364,-65.94451687503876
IDHmut_TP53mut,277.3244160798792,19.168758056001643
IDHmut_TP53mut,171.1754604766711,-9.229326427180775
IDHmut_TP53mut,215.7748698348546,-145.91016551783108
IDHmut_TP53mut,147.37461366246532,52.567732475722565
IDHmut_TP53mut,169.08271807186927,-150.17172838515643
IDHmut_TP53mut,142.38755727948524,37.74621483440752
IDHmut_TP53mut,247.56311967083576,-121.88045320626918
IDHmut_TP53mut,231.2752677349462,11.122148220871383
IDHmut_TP53mut,207.2580913350586,-66.78898669878882
IDHmut_TP53mut,240.8589932139013,144.2692484047535
IDHmut_TP53mut,164.43278431168804,-39.74417736446322
IDHmut_TP53mut,184.69218483798826,-152.8115567626464
IDHmut_TP53mut,165.80442272033636,-134.69995749436055
IDHmut_TP53mut,320.6448545036719,60.427766292563724
IDHmut_TP53mut,159.96411956297854,0.9764546038741346
IDHmut_TP53mut,273.722197050696,-110.8422339697921
IDHmut_TP53mut,263.97102451304306,76.7866958583745
IDHmut_TP53mut,179.2320258465788,125.4983278053873
IDHmut_TP53mut,198.74873308384062,58.44640402118389
IDHmut_TP53mut,149.08146425952805,11.422498975199119
IDHmut_TP53mut,270.5056792011304,-58.1622698365305
IDHmut_TP53mut,117.89937701194373,-74.02635795855869
IDHmut_TP53mut,235.63173339330186,-132.6805631833693
IDHmut_TP53mut,181.65082177196786,-137.3704653059884
IDHmut_TP53mut,213.14092232908365,57.66219646249462
IDHmut_TP53mut,323.5277754852421,76.12375955966857
IDHmut_TP53mut,137.20795860829813,131.90984992628734
IDHmut_TP53mut,138.19823894039817,22.24838673946342
IDHmut_TP53mut,152.25297564877215,93.49138261326357
IDHmut_TP53mut,157.58774931357115,-60.39209717174387
IDHmut_TP53mut,174.71765006914475,5.980071891608765
IDHmut_TP53mut,201.8542692072044,159.6417805472973
IDHmut_TP53mut,124.14874504882503,-140.1062840080403
IDHmut_TP53mut,238.18677470455705,42.24325753854995
